% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (5.178000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.992761284e+02 +3.992761284e+02 +4.510561284e+02 +4.510561284e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +3.957944425e+02 +3.957944425e+02 +4.475744425e+02 +4.475744425e+02 +1.8604e-02 +6.4970e-01 +9.2241e-01 +5.0115e-01 +6.2667e-01 +8.0623e-01 +1.4822e-01 +3.7253e-01 +1.7558e-01 +1.9865e-01 +3.8350e-01 +3.0237e-01 +6.9041e-01 +9.6354e-03 +4.4589e-01 +9.4400e-01 +8.9614e-01 +1.6844e-01 +7.4594e-01 +4.7389e-01
34 +3.885847500e+02 +3.885847500e+02 +4.403647500e+02 +4.403647500e+02 +9.6466e-01 +4.7839e-01 +7.8407e-02 +6.8927e-01 +2.1170e-01 +9.3077e-01 +6.4808e-01 +7.8666e-01 +8.3391e-01 +3.4586e-01 +4.7487e-01 +4.6292e-01 +4.3829e-01 +7.6223e-01 +8.0904e-01 +5.3976e-01 +7.5163e-02 +2.0288e-01 +5.8686e-01 +6.5934e-02
2698 +3.798431407e+02 +3.798431407e+02 +4.316231407e+02 +4.316231407e+02 +6.2678e-01 +7.5853e-01 +6.4200e-01 +8.0815e-02 +9.9520e-01 +2.2405e-01 +6.3072e-01 +8.4167e-01 +7.9757e-01 +4.7307e-01 +9.1203e-03 +6.7918e-01 +8.7378e-02 +9.2306e-01 +3.9842e-01 +6.8306e-01 +7.5341e-01 +1.7686e-01 +3.9108e-01 +6.6221e-02
65795 +3.714667228e+02 +3.714667228e+02 +4.232467228e+02 +4.232467228e+02 +9.8338e-01 +1.8950e-03 +5.4251e-01 +6.4053e-01 +6.6216e-01 +8.5811e-01 +3.5574e-01 +8.6559e-01 +9.6341e-01 +1.2094e-01 +3.9240e-01 +5.9854e-01 +2.3748e-01 +9.0899e-01 +8.1531e-01 +9.8034e-01 +8.3468e-01 +1.1159e-01 +8.3754e-02 +1.3690e-01
% function evaluation | noise-free fitness - Fopt (-3.760300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.992761284e+02 +3.992761284e+02 +2.324612841e+01 +2.324612841e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +3.914720817e+02 +3.914720817e+02 +1.544208165e+01 +1.544208165e+01 +1.3153e-01 +7.0162e-01 +4.6950e-01 +1.0320e-02 +7.1492e-01 +4.9008e-01 +6.8510e-02 +1.3097e-01 +6.3132e-01 +7.9067e-01 +7.9098e-01 +6.2301e-01 +1.5083e-01 +4.9003e-01 +8.3046e-01 +3.1979e-01 +3.9299e-01 +8.7941e-01 +2.3314e-01 +7.1668e-01
117 +3.877083074e+02 +3.877083074e+02 +1.167830736e+01 +1.167830736e+01 +3.2062e-01 +4.6243e-01 +3.9858e-01 +9.0259e-01 +3.2756e-01 +3.8516e-02 +5.2577e-01 +2.2407e-01 +4.1930e-01 +4.1034e-01 +2.0641e-01 +4.5957e-02 +7.0236e-01 +2.2207e-01 +3.9193e-01 +2.2351e-01 +1.4287e-01 +5.9155e-01 +2.0481e-02 +9.2305e-01
