% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1925 +9.889504327e-07 +9.889504327e-07 +7.948000099e+01 +7.948000099e+01 +2.5321e-01 -1.1569e+00 -7.2375e-01 +1.9263e+00 -2.6808e+00 +4.3937e-01 -1.1650e-01 +1.1986e-01 -1.6377e+00 -3.0509e+00 -3.8534e+00 +2.0160e+00 +1.0865e+00 -8.6320e-02 +3.6471e+00 +2.9094e+00 -1.2458e-01 -3.9280e+00 +2.3625e+00 +1.3582e+00
1963 +5.233440419e-07 +5.233440419e-07 +7.948000052e+01 +7.948000052e+01 +2.5293e-01 -1.1568e+00 -7.2389e-01 +1.9264e+00 -2.6808e+00 +4.3933e-01 -1.1670e-01 +1.1988e-01 -1.6378e+00 -3.0509e+00 -3.8536e+00 +2.0160e+00 +1.0866e+00 -8.6339e-02 +3.6472e+00 +2.9092e+00 -1.2463e-01 -3.9279e+00 +2.3624e+00 +1.3580e+00
2010 +3.895813308e-07 +3.895813308e-07 +7.948000039e+01 +7.948000039e+01 +2.5288e-01 -1.1570e+00 -7.2418e-01 +1.9265e+00 -2.6810e+00 +4.3939e-01 -1.1657e-01 +1.1996e-01 -1.6376e+00 -3.0512e+00 -3.8538e+00 +2.0160e+00 +1.0864e+00 -8.6475e-02 +3.6470e+00 +2.9089e+00 -1.2467e-01 -3.9279e+00 +2.3622e+00 +1.3583e+00
2067 +2.170997817e-07 +2.170997817e-07 +7.948000022e+01 +7.948000022e+01 +2.5287e-01 -1.1569e+00 -7.2408e-01 +1.9265e+00 -2.6808e+00 +4.3938e-01 -1.1648e-01 +1.2009e-01 -1.6377e+00 -3.0512e+00 -3.8536e+00 +2.0161e+00 +1.0864e+00 -8.6338e-02 +3.6471e+00 +2.9087e+00 -1.2483e-01 -3.9279e+00 +2.3624e+00 +1.3584e+00
2137 +1.555983289e-07 +1.555983289e-07 +7.948000016e+01 +7.948000016e+01 +2.5289e-01 -1.1568e+00 -7.2403e-01 +1.9264e+00 -2.6809e+00 +4.3948e-01 -1.1671e-01 +1.2008e-01 -1.6377e+00 -3.0512e+00 -3.8535e+00 +2.0160e+00 +1.0865e+00 -8.6368e-02 +3.6472e+00 +2.9086e+00 -1.2478e-01 -3.9279e+00 +2.3624e+00 +1.3584e+00
2187 +9.006221546e-08 +9.006221546e-08 +7.948000009e+01 +7.948000009e+01 +2.5281e-01 -1.1567e+00 -7.2394e-01 +1.9264e+00 -2.6808e+00 +4.3937e-01 -1.1667e-01 +1.1998e-01 -1.6377e+00 -3.0513e+00 -3.8536e+00 +2.0161e+00 +1.0864e+00 -8.6323e-02 +3.6472e+00 +2.9088e+00 -1.2478e-01 -3.9279e+00 +2.3624e+00 +1.3584e+00
2235 +6.143895348e-08 +6.143895348e-08 +7.948000006e+01 +7.948000006e+01 +2.5281e-01 -1.1568e+00 -7.2401e-01 +1.9264e+00 -2.6808e+00 +4.3926e-01 -1.1675e-01 +1.1997e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0863e+00 -8.6426e-02 +3.6472e+00 +2.9089e+00 -1.2463e-01 -3.9280e+00 +2.3623e+00 +1.3584e+00
2261 +3.748655786e-08 +3.748655786e-08 +7.948000004e+01 +7.948000004e+01 +2.5281e-01 -1.1568e+00 -7.2390e-01 +1.9264e+00 -2.6808e+00 +4.3926e-01 -1.1677e-01 +1.2002e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6386e-02 +3.6472e+00 +2.9087e+00 -1.2472e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
2301 +2.395587728e-08 +2.395587728e-08 +7.948000002e+01 +7.948000002e+01 +2.5280e-01 -1.1568e+00 -7.2394e-01 +1.9264e+00 -2.6808e+00 +4.3929e-01 -1.1674e-01 +1.2001e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6373e-02 +3.6472e+00 +2.9088e+00 -1.2477e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
2363 +1.527266136e-08 +1.527266136e-08 +7.948000002e+01 +7.948000002e+01 +2.5283e-01 -1.1568e+00 -7.2398e-01 +1.9264e+00 -2.6808e+00 +4.3923e-01 -1.1675e-01 +1.2003e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6413e-02 +3.6472e+00 +2.9088e+00 -1.2480e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
2379 +9.946546697e-09 +9.946546697e-09 +7.948000001e+01 +7.948000001e+01 +2.5283e-01 -1.1568e+00 -7.2398e-01 +1.9264e+00 -2.6808e+00 +4.3921e-01 -1.1678e-01 +1.2002e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6422e-02 +3.6472e+00 +2.9088e+00 -1.2478e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.122432958e+02 +4.122432958e+02 +8.067232958e+02 +8.067232958e+02 +4.3424e+00 -1.6934e+00 +3.2110e+00 +7.9174e-01 +4.9881e+00 +3.5690e+00 +3.5229e+00 +4.4473e+00 -4.7627e+00 +1.7198e+00 -3.8334e+00 -1.2451e+00 +3.6803e+00 -2.7360e+00 +2.3962e+00 +3.5193e+00 -4.8163e+00 +2.1819e+00 -3.0202e+00 -5.9800e-01
45 +3.412755539e+02 +3.412755539e+02 +7.357555539e+02 +7.357555539e+02 +4.6224e-01 -2.5574e+00 -5.5685e+00 -4.6654e+00 -2.7557e+00 -2.8586e+00 -1.7580e+00 +6.1813e+00 -1.3931e+00 +3.0507e-01 -5.5264e+00 -5.6068e+00 +3.4723e+00 -1.3823e-01 -1.8810e-02 +3.1353e+00 -3.6027e+00 +2.9007e-01 -1.7915e+00 +1.2992e+00
73 +2.421078773e+02 +2.421078773e+02 +6.365878773e+02 +6.365878773e+02 +2.3306e+00 -2.3310e+00 -3.2433e+00 -5.6684e-01 +2.4017e+00 -5.9771e+00 +3.4126e+00 +3.1650e+00 +1.0789e+00 +1.0570e+00 -8.6553e-01 +8.0679e-01 +1.1959e+00 -6.5714e+00 -2.9344e+00 +2.1979e+00 -3.1293e-01 +7.6287e-02 -2.0409e+00 +1.5053e+00
161 +1.409611279e+02 +1.409611279e+02 +5.354411279e+02 +5.354411279e+02 -5.0897e+00 -1.8977e+00 -5.9221e+00 +1.9800e+00 +3.8403e+00 -9.1284e-01 +3.2060e+00 +1.8835e+00 +8.9130e-01 +1.2561e+00 +9.6920e-01 +4.3499e-01 +9.8849e-01 -6.4087e-01 -5.9398e+00 -1.3885e+00 +2.7365e+00 -3.2310e+00 -1.6776e+00 +1.6191e+00
216 +9.100081305e+01 +9.100081305e+01 +4.854808130e+02 +4.854808130e+02 -6.5253e+00 -5.1357e+00 -6.6441e+00 -1.8760e+00 +2.0191e+00 -4.9091e+00 +4.0247e+00 +8.2121e-02 -1.2968e+00 -2.4178e+00 +3.7001e+00 +4.1511e+00 +2.3088e+00 +1.8446e+00 -5.6197e+00 +4.4982e+00 -2.4095e+00 -3.2203e+00 -1.5867e+00 +2.5745e+00
277 +5.896407233e+01 +5.896407233e+01 +4.534440723e+02 +4.534440723e+02 -7.5597e+00 -3.9929e+00 -3.8889e+00 +1.5570e+00 +7.9663e-01 -2.1257e+00 +4.2889e+00 -2.0404e+00 -3.8521e-01 -2.6813e+00 -3.8224e-01 +3.2574e+00 -3.8148e-01 +3.2666e+00 -2.2391e+00 +1.7220e+00 -4.1161e+00 -2.3595e+00 -9.4741e-01 -2.3579e+00
