"","no.","longitude","latitude","magnitude","time","depth","year","month","days"
"1080",1080,0,0,3.04941910505295,76136.2839155489,0,0,0,0
"1081",1081,0,0,4.2410079240799,76136.2839948554,0,0,0,0
"1082",1082,0,0,3.49544134736061,76136.2842488126,0,0,0,0
"1083",1083,0,0,3.22589389979839,76136.2843172536,0,0,0,0
"1084",1084,0,0,3.09893060475588,76136.2843471251,0,0,0,0
"1085",1085,0,0,3.21463866531849,76136.2846291497,0,0,0,0
"1086",1086,0,0,3.4860420525074,76136.2853217623,0,0,0,0
"1087",1087,0,0,4.17985022068024,76136.2882581057,0,0,0,0
"1088",1088,0,0,3.38260188698769,76136.2888776468,0,0,0,0
"1089",1089,0,0,3.76935356855392,76136.2896669083,0,0,0,0
"1090",1090,0,0,3.73957049846649,76136.289846799,0,0,0,0
"1091",1091,0,0,3.35235032439232,76136.2913513204,0,0,0,0
"1092",1092,0,0,3.19104601442814,76136.2955650973,0,0,0,0
"1093",1093,0,0,3.16214738786221,76136.2957273755,0,0,0,0
"1094",1094,0,0,3.13105934858322,76136.2971599127,0,0,0,0
"1095",1095,0,0,3.10428068041801,76136.2980189298,0,0,0,0
"1096",1096,0,0,3.06522606313229,76136.3017516824,0,0,0,0
"1097",1097,0,0,3.17227098345757,76136.3076233357,0,0,0,0
"1098",1098,0,0,3.38371500372887,76136.3087160909,0,0,0,0
"1099",1099,0,0,3.08175808936357,76136.3098619138,0,0,0,0
"1100",1100,0,0,3.82306128740311,76136.3103021482,0,0,0,0
"1101",1101,0,0,3.73783624172211,76136.313614403,0,0,0,0
"1102",1102,0,0,3.20501701533794,76136.3195516392,0,0,0,0
"1103",1103,0,0,3.35221573710442,76136.3200286653,0,0,0,0
"1104",1104,0,0,3.53034126758575,76136.3212034062,0,0,0,0
"1105",1105,0,0,3.17990647256374,76136.3220973981,0,0,0,0
"1106",1106,0,0,4.68784093856812,76136.3229598475,0,0,0,0
"1107",1107,0,0,5.28879976272583,76136.32386174,0,0,0,0
"1108",1108,0,0,3.16065040230751,76136.3253158864,0,0,0,0
"1109",1109,0,0,3.11908329278231,76136.3253456422,0,0,0,0
"1110",1110,0,0,6.64860892295837,76136.3255101736,0,0,0,0
"1111",1111,0,0,3.47174850106239,76136.3255105224,0,0,0,0
"1112",1112,0,0,3.34929594397545,76136.3255126999,0,0,0,0
"1113",1113,0,0,3.26246482133865,76136.3255215341,0,0,0,0
"1114",1114,0,0,3.50070011615753,76136.3255369057,0,0,0,0
"1115",1115,0,0,3.44354924559593,76136.3255373574,0,0,0,0
"1116",1116,0,0,3.90846598148346,76136.3255385918,0,0,0,0
"1117",1117,0,0,3.0961481705308,76136.3255513066,0,0,0,0
"1118",1118,0,0,3.30677202343941,76136.3255705351,0,0,0,0
"1119",1119,0,0,3.07900793105364,76136.3255757865,0,0,0,0
"1120",1120,0,0,3.49931713938713,76136.3255775774,0,0,0,0
"1121",1121,0,0,3.26263481378555,76136.3255965162,0,0,0,0
"1122",1122,0,0,3.16672670841217,76136.3256269498,0,0,0,0
"1123",1123,0,0,3.10077624768019,76136.3256623149,0,0,0,0
"1124",1124,0,0,3.07497619092464,76136.325713937,0,0,0,0
"1125",1125,0,0,3.48056185245514,76136.325728916,0,0,0,0
"1126",1126,0,0,3.8404478430748,76136.3257378776,0,0,0,0
"1127",1127,0,0,3.37387573719025,76136.3257595626,0,0,0,0
"1128",1128,0,0,3.8345353603363,76136.325761259,0,0,0,0
"1129",1129,0,0,3.90759253501892,76136.3257634967,0,0,0,0
"1130",1130,0,0,3.39879849553108,76136.3257964007,0,0,0,0
"1131",1131,0,0,3.03740994259715,76136.3257967,0,0,0,0
"1132",1132,0,0,3.22731468081474,76136.3258189399,0,0,0,0
"1133",1133,0,0,3.65847712755203,76136.325834779,0,0,0,0
"1134",1134,0,0,3.55028295516968,76136.3258891804,0,0,0,0
"1135",1135,0,0,3.22929014265537,76136.3259028568,0,0,0,0
"1136",1136,0,0,4.05854916572571,76136.3259107959,0,0,0,0
"1137",1137,0,0,3.16102634370327,76136.3259209199,0,0,0,0
"1138",1138,0,0,3.43282806873322,76136.3259259447,0,0,0,0
"1139",1139,0,0,3.98590630292892,76136.3259291866,0,0,0,0
"1140",1140,0,0,3.23264573514462,76136.3259556413,0,0,0,0
"1141",1141,0,0,3.20423132181168,76136.325976713,0,0,0,0
"1142",1142,0,0,3.82062953710556,76136.3260198585,0,0,0,0
"1143",1143,0,0,3.29251429438591,76136.3260282567,0,0,0,0
"1144",1144,0,0,3.01639062166214,76136.326059301,0,0,0,0
"1145",1145,0,0,3.18632437288761,76136.326064578,0,0,0,0
"1146",1146,0,0,3.8652965426445,76136.3261106013,0,0,0,0
"1147",1147,0,0,3.10106506943703,76136.3261288713,0,0,0,0
"1148",1148,0,0,3.31933379173279,76136.3261456589,0,0,0,0
"1149",1149,0,0,3.10615137219429,76136.3261607136,0,0,0,0
"1150",1150,0,0,3.00619295053184,76136.3261693473,0,0,0,0
"1151",1151,0,0,3.09000067412853,76136.3262197286,0,0,0,0
"1152",1152,0,0,3.29405790567398,76136.3262258927,0,0,0,0
"1153",1153,0,0,3.72379380464554,76136.3262316813,0,0,0,0
