% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3 +9.892141199e+01 +9.892141199e+01 -5.311858801e+01 -5.311858801e+01 +3.0573e-01 +6.4486e-01 +4.2451e-01 +2.7061e-03 +3.9998e-01 +7.8109e-01 +2.7633e-01 +3.5980e-01 +9.3957e-01 +9.0444e-01 +6.7949e-01 +3.9376e-01 +4.7713e-01 +9.7324e-01 +7.4277e-02 +8.3265e-01 +2.4964e-02 +1.7309e-01 +5.7478e-01 +8.1635e-01
11 +8.966914738e+01 +8.966914738e+01 -6.237085262e+01 -6.237085262e+01 +3.6440e-01 +8.2907e-01 +1.1435e-01 +9.6748e-01 +7.8252e-01 +5.5252e-01 +3.1316e-01 +3.8375e-01 +1.9213e-01 +8.7049e-01 +6.8054e-01 +4.5810e-02 +1.9655e-01 +4.8758e-01 +7.2788e-01 +3.5550e-01 +4.2445e-01 +2.2793e-01 +6.5329e-01 +7.0214e-01
203 +8.682898523e+01 +8.682898523e+01 -6.521101477e+01 -6.521101477e+01 +2.5237e-01 +1.3206e-01 +2.7245e-02 +9.1285e-01 +4.6715e-01 +4.4507e-02 +8.5296e-01 +1.5138e-01 +3.8230e-01 +9.0771e-01 +6.4518e-02 +1.2338e-01 +1.5264e-01 +7.2092e-01 +7.5247e-01 +2.8547e-01 +9.8381e-01 +4.3106e-01 +2.9270e-01 +7.2165e-01
1627 +8.478932514e+01 +8.478932514e+01 -6.725067486e+01 -6.725067486e+01 +3.6440e-01 +8.2907e-01 +1.1435e-01 +9.6748e-01 +7.8252e-01 +5.5252e-01 +3.1316e-01 +3.8375e-01 +1.9213e-01 +8.7049e-01 +6.8054e-01 +1.2558e-01 +3.2272e-02 +7.0730e-01 +8.0227e-01 +6.0969e-01 +3.7532e-01 +1.4936e-01 +4.5047e-02 +9.4926e-01
28447 +8.266190916e+01 +8.266190916e+01 -6.937809084e+01 -6.937809084e+01 +3.6440e-01 +7.7863e-01 +2.9944e-02 +8.4922e-01 +7.4137e-01 +9.1324e-01 +1.9479e-01 +5.5823e-01 +8.5526e-01 +9.8648e-01 +2.2548e-02 +3.6433e-02 +3.7993e-01 +9.6194e-01 +2.0974e-01 +9.8150e-01 +8.1856e-01 +5.2309e-01 +5.6428e-01 +7.8355e-01
47549 +7.920883682e+01 +7.920883682e+01 -7.283116318e+01 -7.283116318e+01 +8.4188e-01 +7.7863e-01 +2.9944e-02 +8.4922e-01 +7.4137e-01 +9.1324e-01 +1.9479e-01 +5.5823e-01 +8.5526e-01 +9.8648e-01 +2.2548e-02 +3.6433e-02 +2.6305e-02 +9.6194e-01 +1.8323e-01 +8.8670e-01 +7.4981e-01 +1.8556e-01 +3.4096e-01 +9.8072e-01
% function evaluation | noise-free fitness - Fopt (-2.525000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.197402816e+01 +7.197402816e+01 +4.672402816e+01 +4.672402816e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
18 +6.745557205e+01 +6.745557205e+01 +4.220557205e+01 +4.220557205e+01 +9.2236e-01 +9.7074e-01 +7.4839e-01 +1.9102e-01 +8.6915e-01 +6.0008e-01 +9.2826e-02 +1.1805e-01 +6.0301e-01 +3.3136e-01 +2.5209e-01 +6.8321e-01 +7.3443e-02 +3.6858e-01 +3.4004e-01 +1.8816e-01 +9.3084e-01 +3.7869e-01 +7.6062e-01 +3.5899e-01
356 +6.526190169e+01 +6.526190169e+01 +4.001190169e+01 +4.001190169e+01 +7.3776e-01 +8.5217e-01 +2.9439e-01 +9.4549e-02 +6.8110e-01 +1.8808e-01 +5.3547e-01 +3.0088e-01 +2.2722e-01 +1.9749e-01 +8.7007e-01 +3.9310e-01 +7.1586e-03 +3.6821e-01 +2.8431e-01 +2.1985e-01 +3.7064e-01 +4.3258e-01 +1.9024e-01 +6.2868e-02
